customer_id,first_name,last_name,gender,birthday,city,state_code,state,zip_code,country,continent,latitude,longitude
301,Lilly,Harding,Female,1939-07-03,Wandearah East,SA,South Australia,5523,Australia,Australia,-33.398609,138.0478629
325,Madison,Hull,Female,1979-09-27,Mount Budd,WA,Western Australia,6522,Australia,Australia,-29.1808105,115.6368964
554,Claire,Ferres,Female,1947-05-26,Winjallok,VIC,Victoria,3380,Australia,Australia,-36.8402605,143.1916319
1042,Aidan,Pankhurst,Male,1965-11-19,Tawonga South,VIC,Victoria,3698,Australia,Australia,-36.7625405,147.1387845
1086,Hayden,Clegg,Male,1954-01-20,Templers,SA,South Australia,5371,Australia,Australia,-34.4686797,138.7469128
1133,Nicholas,Caffyn,Male,1969-11-22,Jubilee Pocket,QLD,Queensland,4802,Australia,Australia,-20.2856945,148.7292838
1256,Lincoln,Jenks,Male,1950-03-12,Kullogum,QLD,Queensland,4660,Australia,Australia,-25.3049151,152.2419421
1314,Isaac,Israel,Male,1965-12-21,Edith River,NT,Northern Territory,852,Australia,Australia,-44.9640422,167.5180049
1568,Luke,Virtue,Male,1975-07-25,Kotta,VIC,Victoria,3565,Australia,Australia,-36.190901,144.5262689
1626,Mary,Leach,Female,1985-10-17,Neds Corner,VIC,Victoria,3496,Australia,Australia,-34.2192368,141.5084046
1642,Ruby,Ambrose,Female,1965-03-03,Tarlo,NSW,New South Wales,2580,Australia,Australia,-34.6058733,149.8038207
2238,Isabelle,Cochran,Female,1969-10-31,Brucknell,VIC,Victoria,3268,Australia,Australia,-38.4675627,142.9196317
2435,Lilian,Hall,Female,1968-04-01,Blakebrook,NSW,New South Wales,2480,Australia,Australia,-28.765,153.2511111
2469,Phoebe,Kneeshaw,Female,1948-05-20,Bidwill,QLD,Queensland,4650,Australia,Australia,-33.7319476,150.823408
2512,Matilda,Hake,Female,1992-11-13,Bunkers Hill,VIC,Victoria,3352,Australia,Australia,-42.363639,172.589861
2751,Nate,Lowes,Male,1979-08-20,Callide,QLD,Queensland,4715,Australia,Australia,-24.265952,150.5131124
2792,Zachary,Perkin,Male,1976-08-25,Bamganie,VIC,Victoria,3333,Australia,Australia,-37.9395982,144.0094948
2836,Nicholas,Shand,Male,1959-02-23,Gordonbrook,QLD,Queensland,4610,Australia,Australia,-26.455403,151.6994742
3270,Hunter,Templeton,Male,1948-05-02,Central Tilba,NSW,New South Wales,2546,Australia,Australia,-36.3126924,150.0745433
3327,Alannah,Le Messurier,Female,1948-04-28,Konongwootong,VIC,Victoria,3315,Australia,Australia,-37.472382,141.6654539
3410,Will,Armitage,Male,1950-05-12,Bollon,QLD,Queensland,4488,Australia,Australia,-28.295356,147.3059333
3575,Noah,McFarland,Male,1942-03-04,Hoppers Crossing,VIC,Victoria,3029,Australia,Australia,-37.8832314,144.7010882
4174,Rebecca,Yelverton,Female,1990-10-05,Ocean Reef,WA,Western Australia,6027,Australia,Australia,-31.7569941,115.7380757
4633,Victoria,Brown,Female,1964-01-08,Keysland,QLD,Queensland,4612,Australia,Australia,-26.221059,151.7392144
