CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Latitude,Longitude
301,Female,Lilly Harding,Wandearah East,SA,South Australia,5523,Australia,Australia,7/3/1939,-33.398609,138.0478629
325,Female,Madison Hull,Mount Budd,WA,Western Australia,6522,Australia,Australia,9/27/1979,-29.1808105,115.6368964
554,Female,Claire Ferres,Winjallok,VIC,Victoria,3380,Australia,Australia,5/26/1947,-36.8402605,143.1916319
1042,Male,Aidan Pankhurst,Tawonga South,VIC,Victoria,3698,Australia,Australia,11/19/1965,-36.7625405,147.1387845
1086,Male,Hayden Clegg,Templers,SA,South Australia,5371,Australia,Australia,1/20/1954,-34.4686797,138.7469128
1133,Male,Nicholas Caffyn,Jubilee Pocket,QLD,Queensland,4802,Australia,Australia,11/22/1969,-20.2856945,148.7292838
1256,Male,Lincoln Jenks,Kullogum,QLD,Queensland,4660,Australia,Australia,3/12/1950,-25.3049151,152.2419421
1314,Male,Isaac Israel,Edith River,NT,Northern Territory,852,Australia,Australia,12/21/1965,-44.9640422,167.5180049
1568,Male,Luke Virtue,Kotta,VIC,Victoria,3565,Australia,Australia,7/25/1975,-36.190901,144.5262689
1626,Female,Mary Leach,Neds Corner,VIC,Victoria,3496,Australia,Australia,10/17/1985,-34.2192368,141.5084046
1642,Female,Ruby Ambrose,Tarlo,NSW,New South Wales,2580,Australia,Australia,3/3/1965,-34.6058733,149.8038207
2238,Female,Isabelle Cochran,Brucknell,VIC,Victoria,3268,Australia,Australia,10/31/1969,-38.4675627,142.9196317
2435,Female,Lilian Hall,Blakebrook,NSW,New South Wales,2480,Australia,Australia,4/1/1968,-28.765,153.2511111
2469,Female,Phoebe Kneeshaw,Bidwill,QLD,Queensland,4650,Australia,Australia,5/20/1948,-33.7319476,150.823408
2512,Female,Matilda Hake,Bunkers Hill,VIC,Victoria,3352,Australia,Australia,11/13/1992,-42.363639,172.589861
2751,Male,Nate Lowes,Callide,QLD,Queensland,4715,Australia,Australia,8/20/1979,-24.265952,150.5131124
2792,Male,Zachary Perkin,Bamganie,VIC,Victoria,3333,Australia,Australia,8/25/1976,-37.9395982,144.0094948
2836,Male,Nicholas Shand,Gordonbrook,QLD,Queensland,4610,Australia,Australia,2/23/1959,-26.455403,151.6994742
3270,Male,Hunter Templeton,Central Tilba,NSW,New South Wales,2546,Australia,Australia,5/2/1948,-36.3126924,150.0745433
3327,Female,Alannah Le Messurier,Konongwootong,VIC,Victoria,3315,Australia,Australia,4/28/1948,-37.472382,141.6654539
3410,Male,Will Armitage,Bollon,QLD,Queensland,4488,Australia,Australia,5/12/1950,-28.295356,147.3059333
3575,Male,Noah McFarland,Hoppers Crossing,VIC,Victoria,3029,Australia,Australia,3/4/1942,-37.8832314,144.7010882
4174,Female,Rebecca Yelverton,Ocean Reef,WA,Western Australia,6027,Australia,Australia,10/5/1990,-31.7569941,115.7380757
4633,Female,Victoria Brown,Keysland,QLD,Queensland,4612,Australia,Australia,1/8/1964,-26.221059,151.7392144
4734,Male,Justin Felan,Parmelia,WA,Western Australia,6167,Australia,Australia,2/13/1946,-32.2466315,115.8264989
4808,Male,Jamie Evenden,Haywards Bay,NSW,New South Wales,2530,Australia,Australia,6/28/1944,-34.545,150.7941667
4811,Male,Brayden Bulcock,Widgiemooltha,WA,Western Australia,6443,Australia,Australia,12/21/1994,-31.546924,121.8946654
5445,Male,Jake Clibborn,Reefton,VIC,Victoria,3799,Australia,Australia,9/10/1952,-42.1159384,171.8634561
5962,Male,Aiden Dugdale,Swan Bay,NSW,New South Wales,2324,Australia,Australia,11/17/1938,-38.2267772,144.6512003
6193,Female,Lara Cassidy,Regency Park,SA,South Australia,5010,Australia,Australia,12/27/1945,-34.8625388,138.5723971
6242,Male,Cody Grosse,Koomberkine,WA,Western Australia,6461,Australia,Australia,2/10/1964,-31.0374355,117.0209718
6308,Male,Taj Sexton,Kooreh,VIC,Victoria,3478,Australia,Australia,2/15/2001,-36.6510355,143.3951358
6459,Male,Mitchell Leigh,Keilor Downs,VIC,Victoria,3038,Australia,Australia,5/24/1942,-37.7205762,144.8047614
7109,Male,Hamish Bolton,Lankeys Creek,NSW,New South Wales,2644,Australia,Australia,11/15/1979,-35.8181981,147.6624064
7313,Female,Chelsea Keast,Kanmantoo,SA,South Australia,5252,Australia,Australia,1/26/1990,-35.0702968,139.0111223
7398,Male,Jonathan Thorpe,Cooee Bay,QLD,Queensland,4703,Australia,Australia,6/10/1945,-23.1435036,150.7616718
7493,Male,Declan Torrens,Noorindoo,QLD,Queensland,4417,Australia,Australia,7/20/1978,-27.081801,149.2215718
7566,Male,William Prenzel,Killara,VIC,Victoria,3691,Australia,Australia,7/1/1993,-33.7660606,151.1601121
7664,Male,Riley Gaffney,Canowie,SA,South Australia,5419,Australia,Australia,3/18/1947,-33.3739226,138.7469092
7700,Male,Lucas Keenan,Stanwell Tops,NSW,New South Wales,2508,Australia,Australia,1/27/1975,-34.2206247,150.97997
7725,Female,Anna Prerauer,Currimundi,QLD,Queensland,4551,Australia,Australia,1/6/1968,-26.7673345,153.1236581
